section,index,name,description,range,count
##,,,,
## DeepStack-style Value Network Spec,,,,
## Architecture: situation-centric (1 row = 1 game state),,,,
## Input:  board (15) + range_oop (1000) + range_ip (1000) = 2015,,,,
## Output: cfv_oop (1000) + cfv_ip (1000) = 2000,,,,
##,,,,
## Zero-sum holds at aggregate level ONLY:,,,,
##   Σ range_oop[k] · cfv_oop[k] + Σ range_ip[k] · cfv_ip[k] = 0,,,,
## NOT per bucket: cfv_oop[k] ≠ -cfv_ip[k],,,,
## (each player's CFV is weighted against the OTHER player's range),,,,
##,,,,

board,0,board_rank1,highest board card rank / 12,[0 1],
board,1,board_rank2,2nd highest board card rank / 12,[0 1],
board,2,board_rank3,3rd highest board card rank / 12,[0 1],
board,3,board_rank4,lowest board card rank / 12,[0 1],
board,4,suit_count0,cards of suit 0 on board / 4,[0 1],
board,5,suit_count1,cards of suit 1 on board / 4,[0 1],
board,6,suit_count2,cards of suit 2 on board / 4,[0 1],
board,7,suit_count3,cards of suit 3 on board / 4,[0 1],
board,8,board_paired,any rank appears 2+ times,{0 1},
board,9,board_trips,any rank appears 3+ times,{0 1},
board,10,monotone,3+ cards of same suit,{0 1},
board,11,connectivity,1 - rank_span/12,[0 1],
board,12,log_spr,ln(1 + stack/pot) / ln(22),[0 1],
board,13,pot_fraction,pot / (pot + stack),[0 1],
board,14,stack_fraction,stack / (pot + stack),[0 1],
range,15-1014,range_oop_0..999,OOP probability mass per bucket,[0 1],1000
range,1015-2014,range_ip_0..999,IP probability mass per bucket,[0 1],1000
##,,,,
## Total input: 2015,,,,
##,,,,

output,0-999,cfv_oop_0..999,counterfactual value per bucket for OOP,float,1000
output,1000-1999,cfv_ip_0..999,counterfactual value per bucket for IP,float,1000
##,,,,
## Total output: 2000,,,,
##,,,,

## ---- Bucketing (offline preprocessing) ----,,,,
## 1326 hands -> 1000 buckets via K-means,,,,
## Board-dependent: re-cluster per board,,,,
##,,,,
## Clustering features (per hand):,,,,
cluster_feature,,equity,hand strength vs random opponent,[0 1],
cluster_feature,,made_hand_rank,"high card/pair/two pair/.../straight flush",[0 1],
cluster_feature,,is_pair,pocket pair,{0 1},
cluster_feature,,is_suited,suited hand,{0 1},
cluster_feature,,rank_gap,|rank1 - rank2| / 12,[0 1],
cluster_feature,,suit_match_c1,board cards matching card1 suit / 4,[0 1],
cluster_feature,,suit_match_c2,board cards matching card2 suit / 4,[0 1],
cluster_feature,,pairs_with_board,hand cards pairing with board / 4,[0 1],
cluster_feature,,overcards,hand cards above highest board card / 2,[0 1],
cluster_feature,,has_flush_draw,4 cards to a flush,{0 1},
cluster_feature,,is_nut_flush_draw,highest flush draw,{0 1},
cluster_feature,,has_made_flush,5+ cards to a flush,{0 1},
cluster_feature,,straight_draw_outs,straight outs / 8 capped at 1,[0 1],
cluster_feature,,has_made_straight,already has a straight,{0 1},
cluster_feature,,is_blocked,hand conflicts with board,{0 1},
